eo_number,document_number,title,president,signing_date,publication_date,citation,body_char_count,pdf_url,raw_text_url,summary,primary_topic,primary_topic_as_extracted,topic_other_reason,secondary_topics,instrument,instrument_other_reason,finish_reason
13889,2019-21630,Continuance of Certain Federal Advisory Committees,Donald Trump,2019-09-27,2019-10-02,84 FR 52743,7290,https://www.govinfo.gov/content/pkg/FR-2019-10-02/pdf/2019-21630.pdf,https://www.federalregister.gov/documents/full_text/text/2019/10/02/2019-21630.txt,Executive Order 13889 continues a list of existing federal advisory committees and sets its own effective date.,government_administration,,,[],other,"continues existing advisory committees rather than creating, amending, or sanctioning anything",stop
13890,2019-22073,Protecting and Improving Medicare for Our Nation's Seniors,Donald Trump,2019-10-03,2019-10-08,84 FR 53573,16140,https://www.govinfo.gov/content/pkg/FR-2019-10-08/pdf/2019-22073.pdf,https://www.federalregister.gov/documents/full_text/text/2019/10/08/2019-22073.txt,"Executive Order 13890 directs the Secretary of Health and Human Services to protect and improve Medicare by proposing regulations, reports and studies, many of which must be completed within specific time‑frames.",health,,,[],directs_report_or_study,,stop
13891,2019-22623,Promoting the Rule of Law Through Improved Agency Guidance Documents,Donald Trump,2019-10-09,2019-10-15,84 FR 55235,15527,https://www.govinfo.gov/content/pkg/FR-2019-10-15/pdf/2019-22623.pdf,https://www.federalregister.gov/documents/full_text/text/2019/10/15/2019-22623.txt,"Executive Order 13891 directs federal agencies to treat guidance documents as non‑binding, to create and maintain public databases of those documents, to review and rescind outdated guidance, to report on retained guidance, and to adopt regulations governing the issuance of guidance documents.",government_administration,,,[],directs_report_or_study,,stop
13892,2019-22624,Promoting the Rule of Law Through Transparency and Fairness in Civil Administrative Enforcement and Adjudication,Donald Trump,2019-10-09,2019-10-15,84 FR 55239,19915,https://www.govinfo.gov/content/pkg/FR-2019-10-15/pdf/2019-22624.pdf,https://www.federalregister.gov/documents/full_text/text/2019/10/15/2019-22624.txt,"Executive Order 13892 directs agencies to act transparently and fairly in civil administrative enforcement and adjudication, requiring them to publish inspection rules, propose voluntary compliance procedures, and submit multiple reports to the President within specified timeframes, while also ensuring due process for regulated parties.",justice_and_law_enforcement,,,[],directs_report_or_study,,stop
13893,2019-22749,Increasing Government Accountability for Administrative Actions by Reinvigorating Administrative PAYGO,Donald Trump,2019-10-10,2019-10-16,84 FR 55487,6952,https://www.govinfo.gov/content/pkg/FR-2019-10-16/pdf/2019-22749.pdf,https://www.federalregister.gov/documents/full_text/text/2019/10/16/2019-22749.txt,"Executive Order 13893 directs the Director of the Office of Management and Budget (OMB) to require agency heads to submit budget‑impact proposals for discretionary administrative actions, gives the Director discretion to waive or adjust those requirements, and revokes a prior OMB memorandum.",government_administration,,,[],delegates_authority,,stop
13894,2019-22849,Blocking Property and Suspending Entry of Certain Persons Contributing to the Situation in Syria,Donald Trump,2019-10-14,2019-10-17,84 FR 55851,19969,https://www.govinfo.gov/content/pkg/FR-2019-10-17/pdf/2019-22849.pdf,https://www.federalregister.gov/documents/full_text/text/2019/10/17/2019-22849.txt,"Executive Order 13894 blocks property and suspends entry of persons contributing to the situation in Syria, imposing sanctions and authorizing related actions.",foreign_policy,,,[],imposes_sanctions,,stop
13895,2019-23525,President's Council of Advisors on Science and Technology,Donald Trump,2019-10-22,2019-10-25,84 FR 57309,8925,https://www.govinfo.gov/content/pkg/FR-2019-10-25/pdf/2019-23525.pdf,https://www.federalregister.gov/documents/full_text/text/2019/10/25/2019-23525.txt,"Executive Order 13895 establishes the President's Council of Advisors on Science and Technology (PCAST) as an advisory body composed of the OSTP Director and up to 16 members from outside government. It tasks PCAST with advising the President on science, technology, education, and innovation policy and requires federal department heads and the Department of Energy to provide information and support. The order also sets a two‑year termination date for PCAST unless the President extends it, and revokes the earlier Executive Order 13539 that created a prior council.",technology_and_research,,,"[""economy_and_finance"", ""education"", ""security_and_defense""]",creates_body,,stop
13896,2019-24040,Commission on Law Enforcement and the Administration of Justice,Donald Trump,2019-10-28,2019-11-01,84 FR 58595,10894,https://www.govinfo.gov/content/pkg/FR-2019-11-01/pdf/2019-24040.pdf,https://www.federalregister.gov/documents/full_text/text/2019/11/01/2019-24040.txt,"Executive Order 13896 (28 Oct 2019) creates the Commission on Law Enforcement and the Administration of Justice, defines its composition and duties, and sets reporting and termination timelines.",justice_and_law_enforcement,,,[],creates_body,,stop
13897,2019-24288,Improving Federal Contractor Operations by Revoking Executive Order 13495,Donald Trump,2019-10-31,2019-11-05,84 FR 59709,2674,https://www.govinfo.gov/content/pkg/FR-2019-11-05/pdf/2019-24288.pdf,https://www.federalregister.gov/documents/full_text/text/2019/11/05/2019-24288.txt,Executive Order 13897 revokes Executive Order 13495 and directs agencies to rescind any implementing actions.,government_administration,,,[],revokes_or_amends,,stop
13898,2019-26178,Establishing the Task Force on Missing and Murdered American Indians and Alaska Natives,Donald Trump,2019-11-26,2019-12-02,84 FR 66059,8619,https://www.govinfo.gov/content/pkg/FR-2019-12-02/pdf/2019-26178.pdf,https://www.federalregister.gov/documents/full_text/text/2019/12/02/2019-26178.txt,Key actions of Executive Order 13898 (Nov 26 2019) establishing the Task Force on Missing and Murdered American Indians and Alaska Natives.,justice_and_law_enforcement,,,[],creates_body,,stop
13899,2019-27217,Combating Anti-Semitism,Donald Trump,2019-12-11,2019-12-16,84 FR 68779,5387,https://www.govinfo.gov/content/pkg/FR-2019-12-16/pdf/2019-27217.pdf,https://www.federalregister.gov/documents/full_text/text/2019/12/16/2019-27217.txt,"The order directs all executive departments and agencies that enforce Title VI to consider the International Holocaust Remembrance Alliance definition of anti‑Semitism when evaluating discrimination based on race, color, or national origin, and to enforce Title VI against such discrimination vigorously. Within 120 days, the head of each such agency must submit a report to the President identifying additional nondiscrimination authorities that could apply to anti‑Semitic conduct. The order affirms that agencies must not diminish constitutional rights while carrying out these duties.",civil_rights,,,"[""education"", ""government_administration""]",directs_report_or_study,,stop
13900,2019-27678,"Providing for the Closing of Executive Departments and Agencies of the Federal Government on December 24, 2019",Donald Trump,2019-12-17,2019-12-20,84 FR 69983,2586,https://www.govinfo.gov/content/pkg/FR-2019-12-20/pdf/2019-27678.pdf,https://www.federalregister.gov/documents/full_text/text/2019/12/20/2019-27678.txt,"Executive Order 13900 directs that all executive departments and agencies be closed and their employees excused from duty on Tuesday, December 24, 2019, with limited exceptions for national security, defense, or other public need. It authorizes department heads to keep essential offices open and requires the Director of the Office of Personnel Management to take actions necessary to implement the closure. The order references Executive Order 11582 and relevant statutes concerning pay and leave.",government_administration,,,"[""security_and_defense""]",delegates_authority,,stop
13901,2019-28286,Adjustments of Certain Rates of Pay,Donald Trump,2019-12-26,2019-12-30,84 FR 72213,4434,https://www.govinfo.gov/content/pkg/FR-2019-12-30/pdf/2019-28286.pdf,https://www.federalregister.gov/documents/full_text/text/2019/12/30/2019-28286.txt,"The order sets new pay rates for various federal pay systems and schedules, establishing effective dates for those schedules.",government_administration,,,[],adjusts_pay_or_admin,,stop
13902,2020-00534,Imposing Sanctions With Respect to Additional Sectors of Iran,Donald Trump,2020-01-10,2020-01-14,85 FR 2003,16209,https://www.govinfo.gov/content/pkg/FR-2020-01-14/pdf/2020-00534.pdf,https://www.federalregister.gov/documents/full_text/text/2020/01/14/2020-00534.txt,"Executive Order 13902 imposes sanctions on Iran‑related persons, entities and transactions, blocks property, restricts foreign financial institutions, suspends entry of certain individuals, and prohibits donations to blocked persons.",foreign_policy,,,[],imposes_sanctions,,stop
13903,2020-02438,Combating Human Trafficking and Online Child Exploitation in the United States,Donald Trump,2020-01-31,2020-02-05,85 FR 6721,10181,https://www.govinfo.gov/content/pkg/FR-2020-02-05/pdf/2020-02438.pdf,https://www.federalregister.gov/documents/full_text/text/2020/02/05/2020-02438.txt,"Executive Order 13903 creates an internal working group to develop strategies for housing victims of human trafficking, references EO 13898, and sets a 180‑day deadline for the Attorney General and Secretary of Homeland Security to propose actions.",justice_and_law_enforcement,,,[],creates_body,,stop
13904,2020-02439,"Ensuring Safe and Lawful E-Commerce for United States Consumers, Businesses, Government Supply Chains, and Intellectual Property Rights Holders",Donald Trump,2020-01-31,2020-02-05,85 FR 6725,18712,https://www.govinfo.gov/content/pkg/FR-2020-02-05/pdf/2020-02439.pdf,https://www.federalregister.gov/documents/full_text/text/2020/02/05/2020-02439.txt,"Executive Order 13904 directs the Department of Homeland Security (through CBP) and other agencies to establish importer‑of‑record criteria, prohibit debarred persons from obtaining such numbers, require rapid notification of attempted circumvention, develop an International Mail Non‑Compliance metric, prioritize inspections of non‑compliant posts, require additional information or block shipments from persistently non‑compliant posts, publish guidance, and submit multiple reports to the President within specified timeframes; the Attorney General must allocate resources to prioritize prosecution of import‑related violations.",justice_and_law_enforcement,,,[],delegates_authority,,stop
13905,2020-03337,"Strengthening National Resilience Through Responsible Use of Positioning, Navigation, and Timing Services",Donald Trump,2020-02-12,2020-02-18,85 FR 9359,11622,https://www.govinfo.gov/content/pkg/FR-2020-02-18/pdf/2020-03337.pdf,https://www.federalregister.gov/documents/full_text/text/2020/02/18/2020-03337.txt,"Executive Order 13905 delegates authority to multiple federal officials to develop PNT‑related profiles, plans, reports and a national R&D plan, and sets specific implementation deadlines.",technology_and_research,,,[],delegates_authority,,stop
13906,2020-03556,Amending Executive Order 13803Reviving the National Space Council,Donald Trump,2020-02-13,2020-02-20,85 FR 10031,2798,https://www.govinfo.gov/content/pkg/FR-2020-02-20/pdf/2020-03556.pdf,https://www.federalregister.gov/documents/full_text/text/2020/02/20/2020-03556.txt,Executive Order 13906 amends Executive Order 13803 to revise the membership of the National Space Council and revokes the first sentence of section 4(c) of that order.,technology_and_research,,,[],revokes_or_amends,,stop
13907,2020-04730,Establishment of the Interagency Environment Committee for Monitoring and Enforcement Under Section 811 of the United States-Mexico-Canada Agreement Implementation Act,Donald Trump,2020-02-28,2020-03-05,85 FR 12977,5372,https://www.govinfo.gov/content/pkg/FR-2020-03-05/pdf/2020-04730.pdf,https://www.federalregister.gov/documents/full_text/text/2020/03/05/2020-04730.txt,Executive Order 13907 creates the Interagency Environment Committee for Monitoring and Enforcement to coordinate U.S. monitoring and enforcement of environmental obligations under the USMCA.,energy_and_environment,,,[],creates_body,,stop
13908,2020-04755,Establishment of the Interagency Committee on Trade in Automotive Goods Under Section 202A of the United States Mexico Canada Agreement Implementation Act,Donald Trump,2020-02-28,2020-03-06,85 FR 12983,5451,https://www.govinfo.gov/content/pkg/FR-2020-03-06/pdf/2020-04755.pdf,https://www.federalregister.gov/documents/full_text/text/2020/03/06/2020-04755.txt,"The order establishes an Interagency Committee on Trade in Automotive Goods to advise on implementation, enforcement, and modification of USMCA automotive provisions.",trade,,,"[""government_administration""]",creates_body,,stop
13909,2020-06161,Prioritizing and Allocating Health and Medical Resources to Respond to the Spread of COVID-19,Donald Trump,2020-03-18,2020-03-23,85 FR 16227,5413,https://www.govinfo.gov/content/pkg/FR-2020-03-23/pdf/2020-06161.pdf,https://www.federalregister.gov/documents/full_text/text/2020/03/23/2020-06161.txt,The order delegates to the Secretary of Health and Human Services the authority to prioritize and allocate health‑and‑medical resources needed to respond to COVID‑19.,health,,,[],delegates_authority,,stop
13910,2020-06478,Preventing Hoarding of Health and Medical Resources To Respond to the Spread of COVID-19,Donald Trump,2020-03-23,2020-03-26,85 FR 17001,6228,https://www.govinfo.gov/content/pkg/FR-2020-03-26/pdf/2020-06478.pdf,https://www.federalregister.gov/documents/full_text/text/2020/03/26/2020-06478.txt,The order delegates the President’s authority under section 102 of the Defense Production Act to the Secretary of Health and Human Services so that the Secretary may prevent hoarding of health and medical resources needed for the COVID‑19 response.,health,,,[],delegates_authority,,stop
13911,2020-06969,Delegating Additional Authority Under the Defense Production Act With Respect to Health and Medical Resources To Respond to the Spread of COVID-19,Donald Trump,2020-03-27,2020-04-01,85 FR 18403,12569,https://www.govinfo.gov/content/pkg/FR-2020-04-01/pdf/2020-06969.pdf,https://www.federalregister.gov/documents/full_text/text/2020/04/01/2020-06969.txt,"Executive Order 13911 delegates additional Defense Production Act authority to the Secretaries of Health and Human Services (HHS) and Homeland Security (DHS) for health‑ and medical‑resource production, waives certain statutory requirements, imposes consultation and notice requirements, and designates a policy‑coordination official.",health,,,[],delegates_authority,,stop
13912,2020-06985,National Emergency Authority To Order the Selected Reserve and Certain Members of the Individual Ready Reserve of the Armed Forces to Active Duty,Donald Trump,2020-03-27,2020-04-01,85 FR 18407,3675,https://www.govinfo.gov/content/pkg/FR-2020-04-01/pdf/2020-06985.pdf,https://www.federalregister.gov/documents/full_text/text/2020/04/01/2020-06985.txt,"The order delegates authority to the Secretaries of Defense and Homeland Security to order selected reserve and certain Individual Ready Reserve members to active duty for up to 24 months, with a cap of 1,000,000 members at any one time.",security_and_defense,,,[],delegates_authority,,stop
13913,2020-07530,Establishing the Committee for the Assessment of Foreign Participation in the United States Telecommunications Services Sector,Donald Trump,2020-04-04,2020-04-08,85 FR 19643,29581,https://www.govinfo.gov/content/pkg/FR-2020-04-08/pdf/2020-07530.pdf,https://www.federalregister.gov/documents/full_text/text/2020/04/08/2020-07530.txt,"Executive Order 13913 establishes a new inter‑agency Committee to assess foreign participation in U.S. telecommunications services and sets a series of procedural deadlines for reviews, assessments, and reporting.",technology_and_research,,,[],creates_body,,stop
13914,2020-07800,Encouraging International Support for the Recovery and Use of Space Resources,Donald Trump,2020-04-06,2020-04-10,85 FR 20381,6820,https://www.govinfo.gov/content/pkg/FR-2020-04-10/pdf/2020-07800.pdf,https://www.federalregister.gov/documents/full_text/text/2020/04/10/2020-07800.txt,"Executive Order 13914 directs the Secretary of State to object to attempts by other states or international organizations to treat the Moon Agreement as customary international law and to take all appropriate actions to encourage international support for the public and private recovery and use of space resources. The Secretary of State must, in consultation with the Secretaries of Commerce and Transportation and the NASA Administrator, negotiate joint statements and arrangements with foreign states. The order also requires the Secretary of State to report to the President, through the National Space Council Chair and the Assistant to the President for National Security Affairs, on these efforts no later than 180 days after the order’s issuance. The order is issued under the President’s constitutional authority and the Commercial Space Launch Competitiveness Act.",technology_and_research,,,"[""foreign_policy""]",delegates_authority,,stop
13915,2020-08392,Providing an Order of Succession Within the Department of the Interior,Donald Trump,2020-04-14,2020-04-17,85 FR 21733,2652,https://www.govinfo.gov/content/pkg/FR-2020-04-17/pdf/2020-08392.pdf,https://www.federalregister.gov/documents/full_text/text/2020/04/17/2020-08392.txt,"Executive Order 13915 establishes a new order of succession for the Secretary of the Interior, specifying that the Solicitor and various Assistant Secretaries will act as Secretary if both the Secretary and Deputy Secretary are unable to serve. It allows the President to deviate from this succession under the Federal Vacancies Reform Act. The order also revokes the earlier Executive Order 13244 that previously set a succession plan. The succession applies only when the listed officials are not serving in an acting capacity.",government_administration,,,[],adjusts_pay_or_admin,,stop
13916,2020-08846,National Emergency Authority To Temporarily Extend Deadlines for Certain Estimated Payments,Donald Trump,2020-04-18,2020-04-23,85 FR 22951,3261,https://www.govinfo.gov/content/pkg/FR-2020-04-23/pdf/2020-08846.pdf,https://www.federalregister.gov/documents/full_text/text/2020/04/23/2020-08846.txt,Executive Order 13916 gives the Secretary of the Treasury authority to temporarily extend deadlines for certain estimated customs payments for importers facing COVID‑19‑related financial hardship.,trade,,,[],delegates_authority,,stop
13917,2020-09536,Delegating Authority Under the Defense Production Act With Respect to Food Supply Chain Resources During the National Emergency Caused by the Outbreak of COVID- 19,Donald Trump,2020-04-28,2020-05-01,85 FR 26313,7424,https://www.govinfo.gov/content/pkg/FR-2020-05-01/pdf/2020-09536.pdf,https://www.federalregister.gov/documents/full_text/text/2020/05/01/2020-09536.txt,"The order delegates authority under the Defense Production Act to the Secretary of Agriculture for food‑supply‑chain resources, including meat and poultry, during the COVID‑19 national emergency.",economy_and_finance,,"The order’s subject is the food supply chain, which falls under the broader economic/critical‑infrastructure category.",[],delegates_authority,,stop
13918,2020-09537,Establishment of the Interagency Labor Committee for Monitoring and Enforcement Under Section 711 of the United States-Mexico-Canada Agreement Implementation Act,Donald Trump,2020-04-28,2020-05-01,85 FR 26315,4269,https://www.govinfo.gov/content/pkg/FR-2020-05-01/pdf/2020-09537.pdf,https://www.federalregister.gov/documents/full_text/text/2020/05/01/2020-09537.txt,Executive Order 13918 establishes the Interagency Labor Committee for Monitoring and Enforcement to oversee USMCA labor obligations.,labor_and_workforce,,,[],creates_body,,stop
13919,2020-09645,Ordering the Selected Reserve of the Armed Forces to Active Duty,Donald Trump,2020-04-30,2020-05-04,85 FR 26591,2236,https://www.govinfo.gov/content/pkg/FR-2020-05-04/pdf/2020-09645.pdf,https://www.federalregister.gov/documents/full_text/text/2020/05/04/2020-09645.txt,The order directs the Secretary of Defense to activate up to 200 members of the Selected Reserve for a period of up to 365 consecutive days to support a specific counter‑narcotics mission.,security_and_defense,,,[],delegates_authority,,stop
13920,2020-09695,Securing the United States Bulk-Power System,Donald Trump,2020-05-01,2020-05-04,85 FR 26595,19852,https://www.govinfo.gov/content/pkg/FR-2020-05-04/pdf/2020-09695.pdf,https://www.federalregister.gov/documents/full_text/text/2020/05/04/2020-09695.txt,Executive Order 13920 establishes a task force to address national‑security risks to the United States bulk‑power system and sets several implementation deadlines.,energy_and_environment,,,[],creates_body,,stop
13921,2020-10315,Promoting American Seafood Competitiveness and Economic Growth,Donald Trump,2020-05-07,2020-05-12,85 FR 28471,27113,https://www.govinfo.gov/content/pkg/FR-2020-05-12/pdf/2020-10315.pdf,https://www.federalregister.gov/documents/full_text/text/2020/05/12/2020-10315.txt,"Executive Order 13921 directs multiple agencies to take actions that support the U.S. seafood industry, aquaculture permitting, and international seafood trade. The order creates an inter‑agency task force, requires a series of reports, sets timelines for regulatory actions, and establishes recurring review schedules.",energy_and_environment,,,[],other,The order contains many distinct directives that do not fit a single listed instrument; each fact below is classified individually.,stop
13922,2020-10953,Delegating Authority Under the Defense Production Act to the Chief Executive Officer of the United States International Development Finance Corporation To Respond to the COVID-19 Outbreak,Donald Trump,2020-05-14,2020-05-19,85 FR 30583,6575,https://www.govinfo.gov/content/pkg/FR-2020-05-19/pdf/2020-10953.pdf,https://www.federalregister.gov/documents/full_text/text/2020/05/19/2020-10953.txt,Delegates Defense Production Act authority to the CEO of the United States International Development Finance Corporation (DFC) to make loans and other actions supporting domestic industrial‑base capabilities for the COVID‑19 response.,government_administration,,,[],delegates_authority,,stop
13923,2020-10993,Establishment of the Forced Labor Enforcement Task Force Under Section 741 of the United States- Mexico-Canada Agreement Implementation Act,Donald Trump,2020-05-15,2020-05-20,85 FR 30587,4048,https://www.govinfo.gov/content/pkg/FR-2020-05-20/pdf/2020-10993.pdf,https://www.federalregister.gov/documents/full_text/text/2020/05/20/2020-10993.txt,Executive Order 13923 creates the Forced Labor Enforcement Task Force to monitor U.S. enforcement of the forced‑labor prohibition in the Tariff Act of 1930.,justice_and_law_enforcement,,,[],creates_body,,stop
13924,2020-11301,Regulatory Relief To Support Economic Recovery,Donald Trump,2020-05-19,2020-05-22,85 FR 31353,16583,https://www.govinfo.gov/content/pkg/FR-2020-05-22/pdf/2020-11301.pdf,https://www.federalregister.gov/documents/full_text/text/2020/05/22/2020-11301.txt,"The order directs agency heads to rescind, modify, waive, or exempt regulatory standards that may inhibit economic recovery.",economy_and_finance,,,[],delegates_authority,,stop
13925,2020-12030,Preventing Online Censorship,Donald Trump,2020-05-28,2020-06-02,85 FR 34079,19757,https://www.govinfo.gov/content/pkg/FR-2020-06-02/pdf/2020-12030.pdf,https://www.federalregister.gov/documents/full_text/text/2020/06/02/2020-12030.txt,Executive Order 13925 – Preventing Online Censorship,technology_and_research,,,[],creates_body,,stop
13926,2020-12430,Advancing International Religious Freedom,Donald Trump,2020-06-02,2020-06-05,85 FR 34951,10579,https://www.govinfo.gov/content/pkg/FR-2020-06-05/pdf/2020-12430.pdf,https://www.federalregister.gov/documents/full_text/text/2020/06/05/2020-12430.txt,"Executive Order 13926 directs the Secretary of State and other officials to develop plans, budgets, training, and economic‑tool recommendations to advance international religious freedom.",civil_rights,,,[],directs_report_or_study,,stop
13927,2020-12584,Accelerating the Nation's Economic Recovery From the COVID-19 Emergency by Expediting Infrastructure Investments and Other Activities,Donald Trump,2020-06-04,2020-06-09,85 FR 35165,26387,https://www.govinfo.gov/content/pkg/FR-2020-06-09/pdf/2020-12584.pdf,https://www.federalregister.gov/documents/full_text/text/2020/06/09/2020-12584.txt,"Executive Order 13927 directs federal agencies to use emergency authorities to expedite infrastructure, civil‑works, and Federal‑lands projects and to report on those actions.",energy_and_environment,,,[],delegates_authority,,stop
13928,2020-12953,Blocking Property of Certain Persons Associated With the International Criminal Court,Donald Trump,2020-06-11,2020-06-15,85 FR 36139,14976,https://www.govinfo.gov/content/pkg/FR-2020-06-15/pdf/2020-12953.pdf,https://www.federalregister.gov/documents/full_text/text/2020/06/15/2020-12953.txt,"Executive Order 13928 declares a national emergency concerning the International Criminal Court and blocks the property of foreign persons determined to assist the ICC. It authorizes the Secretary of State, Treasury, and Attorney General to identify and block such persons, and directs the Treasury to report to Congress. The order also suspends entry of designated individuals and their immediate family members into the United States.",foreign_policy,,,"[""security_and_defense""]",imposes_sanctions,,stop
13929,2020-13449,Safe Policing for Safe Communities,Donald Trump,2020-06-16,2020-06-19,85 FR 37325,13853,https://www.govinfo.gov/content/pkg/FR-2020-06-19/pdf/2020-13449.pdf,https://www.federalregister.gov/documents/full_text/text/2020/06/19/2020-13449.txt,"Executive Order 13929 delegates authority to the Attorney General and the Secretary of Health and Human Services to improve law‑enforcement practices, create a use‑of‑force database, and conduct a survey of community‑support models.",justice_and_law_enforcement,,,[],delegates_authority,,stop
13930,2020-14077,Strengthening the Child Welfare System for America's Children,Donald Trump,2020-06-24,2020-06-29,85 FR 38741,16988,https://www.govinfo.gov/content/pkg/FR-2020-06-29/pdf/2020-14077.pdf,https://www.federalregister.gov/documents/full_text/text/2020/06/29/2020-14077.txt,"Executive Order 13930 directs the Secretary of Health and Human Services to collect, report, and issue guidance on a wide range of child‑welfare data and practices, setting specific deadlines for each task.",civil_rights,,The order’s focus is on the child‑welfare system and related family‑support policies.,[],directs_report_or_study,,stop
13931,2020-14328,Continuing the President's National Council for the American Worker and the American Workforce Policy Advisory Board,Donald Trump,2020-06-26,2020-07-01,85 FR 39455,2214,https://www.govinfo.gov/content/pkg/FR-2020-07-01/pdf/2020-14328.pdf,https://www.federalregister.gov/documents/full_text/text/2020/07/01/2020-14328.txt,Executive Order 13931 amends Executive Order 13845 to set a termination date for the President’s National Council for the American Worker and to continue the American Workforce Policy Advisory Board until that date.,labor_and_workforce,,,[],revokes_or_amends,,stop
13932,2020-14337,Modernizing and Reforming the Assessment and Hiring of Federal Job Candidates,Donald Trump,2020-06-26,2020-07-01,85 FR 39457,10701,https://www.govinfo.gov/content/pkg/FR-2020-07-01/pdf/2020-14337.pdf,https://www.federalregister.gov/documents/full_text/text/2020/07/01/2020-14337.txt,"Executive Order 13932 directs the Director of OPM to review and revise job classification and qualification standards, sets public‑availability and implementation deadlines (120‑day and 180‑day), and requires all agencies to assess candidates based on skills rather than solely on education or self‑evaluations, with a 180‑day compliance deadline.",government_administration,,,[],delegates_authority,,stop
13933,2020-14509,"Protecting American Monuments, Memorials, and Statues and Combating Recent Criminal Violence",Donald Trump,2020-06-26,2020-07-02,85 FR 40081,15536,https://www.govinfo.gov/content/pkg/FR-2020-07-02/pdf/2020-14509.pdf,https://www.federalregister.gov/documents/full_text/text/2020/07/02/2020-14509.txt,"Executive Order 13933 directs federal law‑enforcement and grant‑making agencies to prosecute and withhold funding for entities that damage U.S. monuments, memorials, and statues.",justice_and_law_enforcement,,,[],delegates_authority,,stop
13934,2020-14872,Building and Rebuilding Monuments to American Heroes,Donald Trump,2020-07-03,2020-07-08,85 FR 41165,16577,https://www.govinfo.gov/content/pkg/FR-2020-07-08/pdf/2020-14872.pdf,https://www.federalregister.gov/documents/full_text/text/2020/07/08/2020-14872.txt,"Executive Order 13934 establishes an interagency task force and a national statuary park (the National Garden of American Heroes) to build and rebuild monuments to American heroes, and it sets reporting deadlines for the task force and the NEH.",civil_rights,,,[],creates_body,,stop
13935,2020-15338,White House Hispanic Prosperity Initiative,Donald Trump,2020-07-09,2020-07-14,85 FR 42683,12657,https://www.govinfo.gov/content/pkg/FR-2020-07-14/pdf/2020-15338.pdf,https://www.federalregister.gov/documents/full_text/text/2020/07/14/2020-15338.txt,"Executive Order 13935 creates a new White House Hispanic Prosperity Initiative, an Interagency Working Group, and a President’s Advisory Commission on Hispanic Prosperity; it also supersedes EO 13555 and a provision of EO 13889, and sets a two‑year termination deadline for the Commission.",education,,,[],creates_body,,stop
13936,2020-15646,The President's Executive Order on Hong Kong Normalization,Donald Trump,2020-07-14,2020-07-17,85 FR 43413,21137,https://www.govinfo.gov/content/pkg/FR-2020-07-17/pdf/2020-15646.pdf,https://www.federalregister.gov/documents/full_text/text/2020/07/17/2020-15646.txt,Executive Order 13936 (July 14 2020) declares a national emergency concerning Hong Kong and imposes a series of sanctions and reporting requirements aimed at ending preferential U.S. treatment of Hong Kong.,foreign_policy,,,[],imposes_sanctions,,stop
13937,2020-16623,Access to Affordable Life-Saving Medications,Donald Trump,2020-07-24,2020-07-29,85 FR 45755,5142,https://www.govinfo.gov/content/pkg/FR-2020-07-29/pdf/2020-16623.pdf,https://www.federalregister.gov/documents/full_text/text/2020/07/29/2020-16623.txt,Executive Order 13937 directs the Secretary of Health and Human Services to condition future 330(e) grants on Federally Qualified Health Centers establishing practices to provide insulin and injectable epinephrine at the discounted price they receive.,health,,,[],delegates_authority,,stop
13938,2020-16624,Increasing Drug Importation To Lower Prices for American Patients,Donald Trump,2020-07-24,2020-07-29,85 FR 45757,3881,https://www.govinfo.gov/content/pkg/FR-2020-07-29/pdf/2020-16624.pdf,https://www.federalregister.gov/documents/full_text/text/2020/07/29/2020-16624.txt,"The order directs the Secretary of Health and Human Services to take actions that expand safe access to lower‑cost imported prescription drugs, including facilitating waivers, authorizing insulin re‑importation, and completing rulemaking.",health,,,[],delegates_authority,,stop
13939,2020-16625,Lowering Prices for Patients by Eliminating Kickbacks to Middlemen,Donald Trump,2020-07-24,2020-07-29,85 FR 45759,5289,https://www.govinfo.gov/content/pkg/FR-2020-07-29/pdf/2020-16625.pdf,https://www.federalregister.gov/documents/full_text/text/2020/07/29/2020-16625.txt,"The order directs the Secretary of Health and Human Services to finish rulemaking that would change safe‑harbor rules for drug rebates, effectively delegating that authority to the agency.",health,,,[],delegates_authority,,stop
13940,2020-17363,Aligning Federal Contracting and Hiring Practices With the Interests of American Workers,Donald Trump,2020-08-03,2020-08-06,85 FR 47879,5930,https://www.govinfo.gov/content/pkg/FR-2020-08-06/pdf/2020-17363.pdf,https://www.federalregister.gov/documents/full_text/text/2020/08/06/2020-17363.txt,"Executive Order 13940 directs federal agencies to review contracting and hiring practices, requires reports and actions within set time‑frames, and references prior statutes and orders.",labor_and_workforce,,,[],directs_report_or_study,,stop
13941,2020-17364,Improving Rural Health and Telehealth Access,Donald Trump,2020-08-03,2020-08-06,85 FR 47881,8010,https://www.govinfo.gov/content/pkg/FR-2020-08-06/pdf/2020-17364.pdf,https://www.federalregister.gov/documents/full_text/text/2020/08/06/2020-17364.txt,Executive Order 13941 directs the Secretaries of Health and Human Services and Agriculture to take a series of actions to improve rural health and tele‑health access.,health,,,[],other,The order contains multiple directives; each is captured as a separate claim below.,stop
