eo_number,document_number,authority,source_quote,quote_trimmed
13674,2014-18682,amends Executive Order 13295,shall be further amended by replacing subsection (b) with the following:,0
13675,2014-18998,Constitution and U.S. law,by the authority vested in me as President by the Constitution and the laws of the United States of America,0
13676,2014-22805,National Strategy for Combating Antibiotic‑Resistant Bacteria,the National Strategy for Combating Antibiotic-Resistant Bacteria (Strategy),0
13676,2014-22805,President's Council of Advisors on Science and Technology,the President's Council of Advisors on Science and Technology,0
13676,2014-22805,WHO Global Action Plan for Antimicrobial Resistance,the World Health Organization (WHO) Global Action Plan for Antimicrobial Resistance,0
13676,2014-22805,Federal Advisory Committee Act,"Insofar as the Federal Advisory Committee Act, as amended (5 U.S.C. App.) (the ``Act''), may apply to the Advisory Council",0
13679,2014-24851,President of the United States,Section 1. Establishment of Emergency Board (Board). There is established … by the President …,0
13679,2014-24851,Railway Labor Act § 9A(e),"Section 9A(e) of the RLA provides that the President, upon such request, shall appoint an emergency board …",0
13681,2014-25439,Presidential constitutional and statutory authority,By the authority vested in me as President by the Constitution and the laws of the United States of America,0
13682,2014-29121,Director of the Office of Personnel Management,The Director of the Office of Personnel Management shall take such actions as may be necessary to implement this order,0
13685,2014-30323,prohibits transactions and investments related to the Crimea region of Ukraine,The following are prohibited:,0
13685,2014-30323,blocks property and interests in property of designated persons,"are blocked and may not be transferred, paid, exported, withdrawn, or otherwise dealt in",0
13685,2014-30323,authorizes the Treasury Secretary (with State) to implement the order,"The Secretary of the Treasury, in consultation with the Secretary of State, is hereby authorized to take such actions",0
13685,2014-30323,allows Treasury to redelegate functions to other officials/agencies,The Secretary of the Treasury may redelegate any of these functions to other officers and agencies of the United States Government,0
13686,2014-30363,Presidential constitutional and statutory authority,"By the authority vested in me as President by the Constitution and the laws of the United States of America, it is hereby ordered as follows:",0
13688,2015-01255,Co‑chairs of the Working Group,The Working Group shall be co-,1
13688,2015-01255,Executive Director of the Working Group,"There shall be an Executive Director of the Working Group, to be appointed by the Attorney General",0
13691,2015-03714,delegates authority to NCCIC,I hereby designate the NCCIC as a critical infrastructure protection program and delegate to it authority to enter into voluntary agreements with ISAOs,0
13692,2015-05677,IEEPA,the International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.) (IEEPA),0
13692,2015-05677,NEA,the National Emergencies Act (50 U.S.C. 1601 et seq.) (NEA),0
13692,2015-05677,Venezuela Defense of Human Rights Act,the Venezuela Defense of Human Rights and Civil Society Act of 2014 (Public Law 113‑278),0
13692,2015-05677,INA,section 212(f) of the Immigration and Nationality Act of 1952 (8 U.S.C. 1182(f)) (INA),0
13693,2015-07016,Presidential constitutional and statutory authority,By the authority vested in me as President by the Constitution and the laws of the United States of America,0
13694,2015-07788,International Emergency Economic Powers Act (IEEPA) and National Emergencies Act (NEA),"are blocked and may not be transferred, paid, exported, withdrawn, or otherwise dealt in:",0
13695,2015-13055,President,"terminate the national emergency declared in Executive Order 13617, revoke that order",0
13696,2015-15495,10 U.S.C. §§ 801‑946,"including chapter 47 of title 10, United States Code (Uniform Code of Military Justice, 10 U.S.C. 801-946)",0
13697,2015-15828,the Constitution and the laws of the United States of America,By the authority vested in me as President by the Constitution and the laws of the United States of America,0
13698,2015-16122,Attorney General (via FBI Director),"The Attorney General, acting through the Director of the Federal Bureau of Investigation (FBI), shall establish within the FBI for administrative purposes an interagency Hostage Recovery Fusion Cell (HRFC).",0
13698,2015-16122,President (via Special Assistant to the President),There shall be a Hostage Response Group (HRG) chaired by the Special Assistant to the President and Senior Director for Counterterrorism,0
13698,2015-16122,President,"There shall be a Special Presidential Envoy for Hostage Affairs (Special Envoy), appointed by the President, who shall report to the Secretary of State.",0
13699,2015-16334,President of the United States,"By the authority vested in me as President by the Constitution and the laws of the United States of America, including the Carl Levin and Howard P. ``Buck'' McKeon National Defense Authorization Act for Fiscal Year 2015 (Public Law 113-291), and to allocate the responsibilities imposed by that Act, it is hereby ordered as follows:",0
13699,2015-16334,Secretary of Labor,"The Secretary of Labor shall provide the Advisory Board with funding and administrative support, including the appointment of staff …",0
13700,2015-17926,President,The Board shall terminate upon the submission of the report provided for in section 2 of this order.,0
13701,2015-18292,President of the United States,"by the authority vested in me as President by the Constitution and the laws of the United States of America, including the Bipartisan Congressional Trade Priorities and Accountability Act of 2015 (the ""Act"") (Public Law 114-26) and section 301 of title 3, United States Code, I hereby order as follows:",0
13702,2015-19183,coordination with National Science and Technology Council (EO 12881),"The Executive Council shall coordinate and collaborate with the National Science and Technology Council established by Executive Order 12881 of November 23, 1993",0
13703,2015-19209,delegates_authority,"The Director of ONAP, in consultation with the Director of the Office of Management and Budget (OMB), shall be responsible for monitoring the implementation of the Updated Strategy.",0
13703,2015-19209,directs_report_or_study,The Director of ONAP shall annually report to the President on the implementation of the Updated,1
13707,2015-23630,"The Social and Behavioral Sciences Team (SBST), under the National Science and Technology Council (NSTC)","The Social and Behavioral Sciences Team (SBST), under the National Science and Technology Council (NSTC) and chaired by the Assistant to the President for Science and Technology, shall provide agencies with advice and policy",1
13709,2015-25744,Presidential,"By virtue of the authority vested in me as President of the United States and as Commander in Chief of the Armed Forces of the United States, it is hereby ordered as follows:",0
13711,2015-29498,President,"There is established, effective 12:01 a.m. eastern standard time on November 13, 2015, a Board of three members to be appointed by the President to investigate and report on these disputes.",0
13712,2015-30191,"Constitution, IEEPA, NEA, INA, Title 3","by the authority vested in me as President by the Constitution and the laws of the United States of America, including the International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.) (IEEPA), the National Emergencies Act (50 U.S.C. 1601 et seq.) (NEA), section 212(f) of the Immigration and Nationality Act of 1952 (8 U.S.C. 1182(f)), and section 301 of title 3, United States Code",0
13713,2015-31749,heads of executive branch departments and agencies,"The heads of executive branch departments and agencies may determine that certain offices and installations of their organizations, or parts thereof, must remain open",0
13715,2015-32582,Presidential constitutional and statutory authority,"By the authority vested in me as President by the Constitution and the laws of the United States of America, it is hereby ordered as follows:",0
13716,2016-01325,International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.) (IEEPA),International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.) (IEEPA),0
13716,2016-01325,National Emergencies Act (50 U.S.C. 1601 et seq.) (NEA),National Emergencies Act (50 U.S.C. 1601 et seq.) (NEA),0
13717,2016-02475,Earthquake Hazards Reduction Act of 1977,"including the Earthquake Hazards Reduction Act of 1977, as amended",0
13717,2016-02475,40 U.S.C. 3312,consistent with the provisions of and to the extent required by 40 U.S.C. 3312.,0
13717,2016-02475,National Institute of Standards and Technology (NIST),"the National Institute of Standards and Technology (NIST), shall lead the ICSSC",0
13718,2016-03038,President of the United States,By the authority vested in me as President by the Constitution and the laws of the United States of America,0
13720,2016-04770,redelegation and further assignment of delegated authority,may redelegate authority delegated by this order and may further assign functions assigned by this order to officers of any other department or agency within the executive branch,0
13723,2016-07703,President of the United States,There is hereby established the Inherent Resolve Campaign Medal with suitable appurtenances.,0
13727,2016-11300,"Presidential Memorandum of July 11, 2001","the term ``President's Management Council'' shall have the same meaning as that term is used in the Presidential Memorandum of July 11, 2001.",0
13727,2016-11300,Presidential Transition Act of 1963,"the Presidential Transition Act of 1963, as amended",0
13728,2016-12155,40 U.S.C. § 3312,consistent with the provisions of and to the extent required by 40 U.S.C. 3312,0
13729,2016-12307,President (designation of Chair),"The Board shall function as an interagency policy committee, or body of equivalent standing, chaired by a member of the National Security Council staff at the Senior Director level or higher who shall be designated by the President (Chair).",0
13729,2016-12307,National Security Advisor (receiving the report),"The Chair shall report, through the National Security Advisor, to the President by April 30 each year on the work of the U.S. Government in mass atrocity prevention and response, including the work of the Board.",0
13730,2016-12579,"chapter 47 of title 10, United States Code (Uniform Code of Military Justice)","including chapter 47 of title 10, United States Code (Uniform Code of Military Justice, 10 U.S.C. 801-946)",0
13732,2016-16295,Presidential Policy Directive 1,consistent with Presidential Policy Directive 1 or its successor,0
13733,2016-17945,President of the United States,"by the authority vested in me as President by the Constitution and the laws of the United States of America, including the Trade Facilitation and Trade Enforcement Act of 2015 (the “Act”) (Public Law 114‑125) and section 301 of title 3, United States Code",0
13736,2016-19724,President of the United States,"by the authority vested in me as President by the Constitution and the laws of the United States of America, including the Federal Vacancies Reform Act of 1998, as amended, 5 U.S.C. 3345 et seq. (the “Act”), it is hereby ordered that:",0
13737,2016-19725,delegates authority to listed officials to act as Administrator,"the following officials of the Environmental Protection Agency, in the order listed, shall act as and perform the functions and duties of the office of the Administrator",0
13740,2016-22962,"chapter 47 of title 10, United States Code (Uniform Code of Military Justice, 10 U.S.C. 801-946)","including chapter 47 of title 10, United States Code (Uniform Code of Military Justice, 10 U.S.C. 801-946)",0
13741,2016-24066,amends EO 13467,"Section 1. Executive Order 13467 of June 30, 2008, is amended as follows:",0
13741,2016-24066,amends EO 12171,"Sec. 3. Amendment to Executive Order 12171. Executive Order 12171 of November 19, 1979, as amended, is further amended by striking",0
13744,2016-25290,Executive Order 12881,"established by Executive Order 12881 of November 23, 1993 (Establishment of the National Science and Technology Council)",0
13744,2016-25290,Executive Order 13642,"in accordance with Executive Order 13642 of May 9, 2013 (Making Open and Machine Readable the New Default for Government Information)",0
13745,2016-26753,5 U.S.C. § 6391,"section 6391 of title 5, United States Code",0
13745,2016-26753,3 U.S.C. § 301,"section 301 of title 3, United States Code",0
13746,2016-27156,USAID designated as lead agency,The United States Agency for International Development (USAID) shall serve as the lead agency to facilitate the implementation of Power Africa,0
13749,2016-29165,heads of executive‑branch agencies may appoint such individuals in the competitive service,served for at least 48 months of continuous service in the Foreign Service of the Department of State under a Limited Non-Career Appointment,0
13749,2016-29165,eligibility requirement for non‑competitive appointment,have received a satisfactory or better performance rating (or equivalent) for service under the qualifying Limited Non-Career Appointment,0
13749,2016-29165,time limit for exercising eligibility,exercise the eligibility for noncompetitive appointment within a period of 1 year after completion of the qualifying Limited Non-Career Appointment,0
13749,2016-29165,extension of eligibility period up to three years under certain circumstances,"Such period may be extended to not more than 3 years in the case of persons who, following such service, are engaged in military service",0
13749,2016-29165,status of persons appointed under this order,A person appointed under section 2 of this order shall become a career conditional employee,0
13749,2016-29165,disqualifying criteria from other laws apply to this appointment,"Any law, Executive Order, or regulation that would disqualify an applicant for appointment in the competitive service shall also disqualify a person for appointment under section 2 of this order",0
13749,2016-29165,OPM may issue implementing regulations,The Office of Personnel Management is authorized to issue such additional regulations as may be necessary to implement this order,0
13750,2016-29169,Secretary of State (or designee) to issue certificates,"The Secretary of State or designee shall issue certificates, upon request, to persons whom the Department of State determines have completed the requirements of a program described in section 1 of this order.",0
13755,2016-31792,President of the United States,"By the authority vested in me as President by the Constitution and the laws of the United States of America, including the Federal Vacancies Reform Act of 1998, as amended, 5 U.S.C. 3345 et seq. (the ""Act""), it is hereby ordered that:",0
13756,2016-31875,5 U.S.C. 5303,"as adjusted under 5 U.S.C. 5303, are set forth on the schedules attached hereto",0
13759,2017-01168,International Organizations Immunities Act (22 U.S.C. 288),"I hereby designate the World Organisation for Animal Health as a public international organization entitled to enjoy the privileges, exemptions, and immunities provided by the International Organizations Immunities Act.",0
13760,2017-01169,Section 1,"It is further determined that chapter 71 of title 5, United States Code, cannot be applied to these subdivisions in a manner consistent with national security requirements and considerations.",0
13761,2017-01197,Secretary of the Treasury,The function of the President under section 6(c)(1) of CPSA is assigned to the Secretary of the Treasury.,0
13761,2017-01197,Secretary of State,The functions of the President under section 6(c)(2) and the last sentence of section 6(d) of CPSA are assigned to the Secretary of State,0
13761,2017-01197,Secretary of Homeland Security,the function of denial of entry is assigned to the Secretary of Homeland Security.,0
13761,2017-01197,Secretary of State,The function of the President under section 8 of DPAA is assigned to the Secretary of State.,0
13761,2017-01197,Secretary of the Treasury and the Secretary of Commerce,"are authorized to issue regulations, licenses, and orders, and conduct such investigations as may be necessary, to implement the provisions of section 906 of TSRA.",0
13762,2017-01487,"Federal Vacancies Reform Act of 1998, 5 U.S.C. 3345 et seq.","including the Federal Vacancies Reform Act of 1998, 5 U.S.C. 3345 et seq.",0
13764,2017-01623,Constitution and the laws of the United States of America,By the authority vested in me as President by the Constitution and the laws of the United States of America,0
13764,2017-01623,"Title 5, United States Code, sections 3301, 7103(b), 7301","including sections 3301, 7103(b), and 7301 of title 5, United States Code",0
13767,2017-02095,U.S. Constitution,By the authority vested in me as President by the Constitution,0
13767,2017-02095,Immigration and Nationality Act (8 U.S.C. 1101 et seq.),including the Immigration and Nationality Act (8 U.S.C. 1101 et seq.) (INA),0
13767,2017-02095,Secure Fence Act of 2006 (Public Law 109-367),the Secure Fence Act of 2006 (Public Law 109-367) (Secure Fence Act),0
13767,2017-02095,Illegal Immigration Reform and Immigrant Responsibility Act of 1996 (Public Law 104-208 Div. C),the Illegal Immigration Reform and Immigrant Responsibility Act of 1996 (Public Law 104-208 Div. C) (IIRIRA),0
13767,2017-02095,Section 287(g) of the Immigration and Nationality Act (8 U.S.C. 1357(g)),section 287(g) of the INA (8 U.S.C. 1357(g)),0
13769,2017-02281,"Presidential authority under the Constitution, INA, and 3 U.S.C. §301","by the authority vested in me as President by the Constitution and laws of the United States of America, including the Immigration and Nationality Act (INA), 8 U.S.C. 1101 et seq., and section 301 of title 3, United States Code",0
13770,2017-02450,President,the President or his designee may grant to any person a waiver of any restrictions contained in the pledge,0
13771,2017-02451,Section 2(a),shall identify at least two existing regulations to be repealed,0
13771,2017-02451,Section 2(b),the total incremental cost of all new regulations ... shall be no greater than zero,0
13771,2017-02451,Section 3(a),"Beginning with the Regulatory Plans ... for fiscal year 2018, ... the head of each agency shall identify ... and provide the agency's best approximation of the total costs or savings",0
13771,2017-02451,Section 3(c),no regulation shall be issued by an agency if it was not included on the most recent version ... unless the issuance ... was approved in advance in writing by the Director,0
13771,2017-02451,Section 2(d) and Section 5(e),The Director shall provide the heads of agencies with guidance on the implementation of this section,0
13772,2017-02762,executive departments and agencies,"Nothing in this order shall be construed to impair or otherwise affect: (i) the authority granted by law to an executive department or agency, or the head thereof;",0
13772,2017-02762,Director of the Office of Management and Budget,"(ii) the functions of the Director of the Office of Management and Budget relating to budgetary, administrative, or legislative proposals.",0
13775,2017-03116,"Federal Vacancies Reform Act of 1998, 5 U.S.C. 3345 et seq.","the following officers, in the order listed, shall act as and perform the functions and duties of the office of Attorney General",0
13776,2017-03118,President,By the authority vested in me as President by the Constitution and the laws of the United States of America,0
13780,2017-04837,Article II of the Constitution; INA §212(f),I exercised my authority under Article II of the Constitution and under section 212(f) of the INA,0
13781,2017-05399,Presidential constitutional and statutory authority,by the authority vested in me as President by the Constitution and the laws of the United States of America,0
13783,2017-06576,President,"By the authority vested in me as President by the Constitution and the laws of the United States of America, it is hereby ordered as follows:",0
13784,2017-06716,U.S. Constitution,By the authority vested in me as President by the Constitution and the laws of the United States of America,0
13784,2017-06716,Federal Advisory Committee Act (5 U.S.C. App.),"Insofar as the Federal Advisory Committee Act, as amended (5 U.S.C. App.) (Act), may apply to the Commission",0
13785,2017-06967,President of the United States,the authority vested in me as President by the Constitution and the laws of the United States of America,0
13786,2017-06968,Presidential authority under the Constitution and U.S. law,By the authority vested in me as President by the Constitution and the laws of the United States of America,0
13788,2017-08311,Secretary of Commerce and Director of the Office of Management and Budget,"Within 60 days of the date of this order, the Secretary of Commerce and the Director of the Office of Management and Budget, in consultation with the Secretary of State, the Secretary of Labor, the United States Trade Representative, and the Federal Acquisition Regulatory Council, shall issue guidance to agencies about how to make the assessments and to develop the policies required by subsection (b) of this section.",0
13789,2017-08586,Executive Order 12866,"earlier determinations of whether a regulation is significant pursuant to Executive Order 12866 of September 30, 1993, as amended (Regulatory Planning and Review), shall not be controlling.",0
13789,2017-08586,Executive Order 12866,"review and, if appropriate, reconsider the scope and implementation of the existing exemption for certain tax regulations from the review process set forth in Executive Order 12866 and any successor order.",0
13791,2017-08905,Executive branch policy,"It shall be the policy of the executive branch to protect and preserve State and local control over the curriculum, program of instruction, administration, and personnel of educational institutions",0
13792,2017-08908,President,"Within 45 days of the date of this order, the Secretary shall provide an interim report to the President, through the Director of the Office of Management and Budget, the Assistant to the President for Economic Policy, the Assistant to the President for Domestic Policy, and the Chairman of the Council on Environmental Quality, summarizing the findings of the review described in subsection (a) of this section",0
13792,2017-08908,President,"Within 120 days of the date of this order, the Secretary shall provide a final report to the President, through the Director of the Office of Management and Budget, the Assistant to the President for Economic Policy, the Assistant to the President for Domestic Policy, and the Chairman of the Council on Environmental Quality, summarizing the findings of the review described in subsection (a) of this section",0
13794,2017-09083,President,"The President, who shall serve as Chairman;",0
13794,2017-09083,Vice President,The Vice President;,0
13794,2017-09083,Secretary of Defense,The Secretary of Defense;,0
13794,2017-09083,Secretary of Commerce,The Secretary of Commerce;,0
13794,2017-09083,Secretary of Homeland Security,The Secretary of Homeland Security;,0
13794,2017-09083,Director of National Intelligence,The Director of National Intelligence;,0
13794,2017-09083,Director of the Office of Management and Budget (OMB),The Director of the Office of Management and Budget (OMB);,0
13794,2017-09083,Director of the Office of Science and Technology Policy,The Director of the Office of Science and Technology Policy;,0
13794,2017-09083,U.S. Chief Technology Officer,The U.S. Chief Technology Officer;,0
13794,2017-09083,Administrator of General Services,The Administrator of General Services;,0
13794,2017-09083,Senior Advisor to the President,The Senior Advisor to the President;,0
13794,2017-09083,Assistant to the President for Intragovernmental and Technology Initiatives,The Assistant to the President for Intragovernmental and Technology Initiatives;,0
13794,2017-09083,Assistant to the President for Strategic Initiatives,The Assistant to the President for Strategic Initiatives;,0
13794,2017-09083,Assistant to the President for National Security Affairs,The Assistant to the President for National Security Affairs;,0
13794,2017-09083,Assistant to the President for Homeland Security and Counterterrorism,The Assistant to the President for Homeland Security and Counterterrorism;,0
13794,2017-09083,Administrator of the U.S. Digital Service,The Administrator of the U.S. Digital Service;,0
13794,2017-09083,Administrator of the Office of Electronic Government (Federal Chief Information Officer),The Administrator of the Office of Electronic Government (Federal Chief Information Officer);,0
13794,2017-09083,Commissioner of the Technology Transformation Service,The Commissioner of the Technology Transformation Service;,0
13794,2017-09083,Director of the American Technology Council,The Director of the American Technology Council (Director).,0
13795,2017-09087,"President, Outer Continental Shelf Lands Act","By the authority vested in me as President by the Constitution and the laws of the United States of America, including the Outer Continental Shelf Lands Act, 43 U.S.C. 1331 et seq.",0
13798,2017-09574,Executive branch,It shall be the policy of the executive branch to vigorously enforce Federal law's robust protections for religious freedom.,0
13800,2017-10004,National Institute of Standards and Technology Framework for Improving Critical Infrastructure Cybersecurity,"Effective immediately, each agency head shall use The Framework for Improving Critical Infrastructure Cybersecurity (the Framework) developed by the National Institute of Standards and Technology, or any successor document, to manage the agency's cybersecurity risk.",0
13800,2017-10004,"Section 3552(b)(6) of title 44, United States Code (National Security System definition)","For any National Security System, as defined in section 3552(b)(6) of title 44, United States Code, the Secretary of Defense and the Director of National Intelligence ... shall implement this order to the maximum extent feasible and appropriate.",0
13801,2017-13012,Presidential authority,By the authority vested in me as President by the Constitution and the laws of the United States of America,0
13802,2017-13458,President of the United States,By the authority vested in me as President by the Constitution and the laws of the United States of America,0
13804,2017-14992,Executive Order 13761,"Section 1 of Executive Order 13761 is hereby amended by striking ``July 12, 2017'' and inserting in lieu thereof ``October 12, 2017''.",0
13804,2017-14992,Executive Order 13761,Section 11 of Executive Order 13761 is hereby revoked.,0
13805,2017-15680,Presidential constitutional and statutory authority,"By the authority vested in me as President by the Constitution and the laws of the United States of America, it is hereby ordered as follows:",0
13806,2017-15860,Presidential constitutional and statutory authority,"By the authority vested in me as President by the Constitution and the laws of the United States of America, it is hereby ordered as follows:",0
13807,2017-18134,Office of Management and Budget (OMB),"Within 180 days of the date of this order, the Director of the Office of Management and Budget (OMB), in consultation with the FPISC, shall establish a CAP Goal on Infrastructure Permitting Modernization",0
13807,2017-18134,Office of Management and Budget (OMB),"Within 180 days of the establishment of the CAP Goal on Infrastructure Permitting Modernization, ... OMB, in consultation with the FPISC, shall issue guidance for establishing a performance accountability system",0
13807,2017-18134,Council on Environmental Quality (CEQ),"Within 30 days of the date of this order, the CEQ shall develop an initial list of actions it will take to enhance and modernize the Federal environmental review and authorization process",0
13808,2017-18468,President,"by the authority vested in me as President by the Constitution and the laws of the United States of America, including the International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.) (IEEPA)",0
13810,2017-20647,imposes_sanctions,"All property and interests in property ... are blocked and may not be transferred, paid, exported, withdrawn, or otherwise dealt in.",0
13813,2017-22677,President,shall provide a report to the President,0
13815,2017-23630,"Constitution, INA, 8 U.S.C. 1101 et seq., 22 U.S.C. §301","By the authority vested in me as President by the Constitution and the laws of the United States of America, including the Immigration and Nationality Act (INA), 8 U.S.C. 1101 et seq., and section 301 of title 3, United States Code",0
13816,2017-27034,Constitution and the laws of the United States of America,By the authority vested in me as President by the Constitution and the laws of the United States of America,0
13817,2017-27899,the Constitution and the laws of the United States of America,By the authority vested in me as President by the Constitution and the laws of the United States of America,0
13818,2017-27925,President of the United States,I hereby determine and order:,0
13819,2017-28160,President of the United States,"By the authority vested in me as President by the Constitution and the laws of the United States of America, it is hereby ordered as follows:",0
13821,2018-00553,Section 6409 of the Middle Class Tax Relief and Job Creation Act of 2012,continue its implementation of section 6409 of the Middle Class Tax Relief and Job Creation Act of 2012 (Public Law 112‑96),0
13822,2018-00630,Presidential authority under the Constitution and U.S. law,"By the authority vested in me as President by the Constitution and the laws of the United States of America, it is hereby ordered as follows:",0
13824,2018-04414,revokes,"Executive Order 13545 of June 22, 2010, is hereby revoked.",0
13824,2018-04414,amends,"Executive Order 13265 of June 6, 2002, is hereby amended as follows:",0
13824,2018-04414,references,"the seal prescribed by Executive Order 10830 of July 24, 1959, as amended, shall be modified",0
13825,2018-04860,Executive Order 12473,"prescribed by Executive Order 12473 of April 13, 1984",0
13826,2018-05113,Council,"The Council shall engage with Federal, State, local, and tribal officials, including correctional officials, to carry out its objectives.",0
13828,2018-07874,welfare system,the welfare system of the United States,0
13829,2018-08272,the Constitution,By the authority vested in me as President by the Constitution,0
13830,2018-08883,supersedes EO 4601,"This order supersedes Executive Order 4601 of March 1, 1927, as amended, and Executive Order 9260 of October 29, 1942, as amended.",0
13830,2018-08883,supersedes EO 9260,"This order supersedes Executive Order 4601 of March 1, 1927, as amended, and Executive Order 9260 of October 29, 1942, as amended.",0
13830,2018-08883,references Proclamation 2714,"the date and time World War II hostilities were terminated pursuant to Proclamation 2714 of December 31, 1946",0
13832,2018-10403,Statutory authority (10 U.S.C. § 1784; 5 U.S.C. § 3301‑3302),"including section 1784 of title 10, United States Code, and sections 3301 and 3302 of title 5, United States Code",0
13833,2018-10855,44 U.S.C. § 3506(a)(2),"Consistent with 44 U.S.C. 3506(a)(2), the CIO of the covered agency reports directly to the agency head",0
13833,2018-10855,40 U.S.C. § 11319(b)(1)(A),"Consistent with 40 U.S.C. 11319(b)(1)(A), the CIO has a significant role … in all annual and multi‑year planning, programming, budgeting, and execution decisions",0
13834,2018-11101,Director of National Intelligence,The Director of National Intelligence may exempt an intelligence activity of the United States ... from the provisions of this order,0
13834,2018-11101,Head of each agency,The head of an agency may exempt law enforcement activities of that agency ... from the provisions of this order,0
13835,2018-11335,imposes_sanctions,"All transactions related to, provision of financing for, and other dealings in the following by a United States person or within the United States are prohibited:",0
13837,2018-11916,Presidential authority under the Constitution and statutes (31 U.S.C. § 301; 5 U.S.C. § 7301).,"By the authority vested in me as President by the Constitution and the laws of the United States of America, including section 301 of title 3, United States Code, and section 7301 of title 5, United States Code, and to ensure the effective functioning of the executive branch, it is hereby ordered as follows:",0
13838,2018-11936,"Executive Order 13658, Section 7(f)",Section 7(f) of Executive Order 13658 is amended by inserting at its end the following language:,0
13839,2018-11939,Presidential authority under the Constitution and statutes,"By the authority vested in me as President by the Constitution and the laws of the United States of America, including sections 1104(a)(1), 3301, and 7301 of title 5, United States Code, and section 301 of title 3, United States Code",0
13840,2018-13640,Constitution and the laws of the United States,By the authority vested in me as President by the Constitution and the laws of the United States of America,0
13843,2018-15202,5 U.S.C. § 3302(1),"Pursuant to my authority under section 3302(1) of title 5, United States Code",0
13845,2018-15955,Co‑Chairs shall convene meetings of the Council at least once per quarter.,The Co‑Chairs shall convene meetings of the Council at least once per quarter.,0
13845,2018-15955,"Council shall terminate 2 years after the date of this order, unless extended by the President.","The Council shall terminate 2 years after the date of this order, unless extended by the President.",0
13845,2018-15955,Members appointed to the Board shall serve for a term of 2 years.,Members appointed to the Board shall serve for a term of 2 years.,0
13845,2018-15955,"The Board shall terminate 2 years after the date of this order, unless extended by the President.","The Board shall terminate 2 years after the date of this order, unless extended by the",1
13846,2018-17068,IEEPA,"by the authority vested in me as President by the Constitution and the laws of the United States of America, including the International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.) (IEEPA)",0
13847,2018-19514,President of the United States,"By the authority vested in me as President by the Constitution and the laws of the United States of America, it is hereby ordered as follows:",0
13848,2018-20203,blocks property of foreign persons involved in election interference,"All property and interests in property … are blocked and may not be transferred, paid, exported, withdrawn, or otherwise dealt in",0
13849,2018-20816,International Emergency Economic Powers Act (IEEPA),including the International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.) (IEEPA),0
13849,2018-20816,National Emergencies Act,the National Emergencies Act (50 U.S.C. 1601 et seq.),0
13849,2018-20816,Countering America's Adversaries Through Sanctions Act (CAATSA),the Countering America's Adversaries Through Sanctions Act (Public Law 115-44) (CAATSA),0
13849,2018-20816,Ukraine Freedom Support Act (UFSA),"the Ukraine Freedom Support Act of 2014 (Public Law 113-272), as amended (UFSA)",0
13850,2018-24254,foreign_policy_and_national_security,actions by the Maduro regime and associated persons to plunder Venezuela's wealth,0
13851,2018-26156,President of the United States,"By the authority vested in me as President by the Constitution and the laws of the United States of America, including the International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.) (IEEPA), the National Emergencies Act (50 U.S.C. 1601 et seq.) (NEA), section 212(f) of the Immigration and Nationality Act of 1952 (8 U.S.C. 1182(f)), and section 301 of title 3, United States Code,",0
13852,2018-26552,heads of executive departments and agencies,"The heads of executive departments and agencies may determine that certain offices and installations of their organizations, or parts thereof, must remain open",0
13852,2018-26552,Director of the Office of Personnel Management,The Director of the Office of Personnel Management shall take such actions as may be necessary to implement this order,0
13854,2018-27945,Presidential authority,"By the authority vested in me as President by the Constitution and the laws of the United States of America, it is hereby ordered as follows:",0
13856,2019-00048,President,"By the authority vested in me as President by the Constitution and the laws of the United States of America, it is hereby ordered as follows:",0
13858,2019-01426,Presidential constitutional and statutory authority,"By the authority vested in me as President by the Constitution and the laws of the United States of America, and to strengthen Buy‑American principles in Federal financial assistance programs, it is hereby ordered as follows:",0
13859,2019-02544,National Security Presidential Memorandum of February 11 2019,"in accordance with the National Security Presidential Memorandum of February 11, 2019 (Protecting the United States Advantage in Artificial Intelligence and Related Critical Technologies) (the NSPM)",0
13860,2019-04298,Presidential authority under the U.S. Constitution and federal law,By the authority vested in me as President by the Constitution and the laws of the United States of America,0
13861,2019-04437,Presidential constitutional and statutory authority,"By the authority vested in me as President by the Constitution and the laws of the United States of America, it is hereby ordered as follows:",0
13864,2019-05934,delegated authority to agency heads to enforce free‑inquiry requirements,"the heads of covered agencies shall, in coordination with the Director of the Office of Management and Budget, take appropriate steps ... to ensure institutions that receive Federal research or education grants promote free inquiry",0
13865,2019-06325,Secretary of State,The Secretary of State shall: (i) lead the coordination of diplomatic efforts with United States allies and international partners regarding enhancing resilience to the effects of EMPs; and,0
13865,2019-06325,Secretary of Defense,"The Secretary of Defense shall: (i) in cooperation with the heads of relevant agencies and with United States allies, international partners, and private‑sector entities as appropriate, improve and develop the ability to rapidly characterize, attribute, and provide warning of EMPs,",0
13865,2019-06325,Secretary of Homeland Security,The Secretary of Homeland Security shall:,1
13866,2019-06548,Presidential,"By the authority vested in me as President by the Constitution and the laws of the United States of America, it is hereby ordered as follows:",0
