eo_number,document_number,due_description,due_date,responsible_party,source_quote,quote_trimmed
13960,2020-27065,Each agency to specify responsible official(s) for AI Principles implementation,Within 30 days of the date of this order,Each Federal Agency,"Within 30 days of the date of this order, each agency shall specify the responsible official(s) at that agency who will coordinate implementation of the Principles set forth in section 3 of this order with the Agency Data Governance Body and other relevant officials and will collaborate with the interagency coordination bodies identified pursuant to section 6 of this order.",0
13960,2020-27065,CIO Council to publish a list of recommended interagency bodies and forums,Within 45 days of this order,CIO Council,"Within 45 days of this order, the CIO Council shall publish a list of recommended interagency bodies and forums in which agencies may elect to participate, as appropriate and consistent with their respective authorities and missions.",0
13961,2020-27353,90 days from the order date (December 7 2020),,Executive Committee,"Within 90 days of the date of this order, the Executive Committee shall submit a Federal Mission Resilience Executive Committee Charter to the President, through the Chief of Staff, that identifies any subordinate bodies, working groups, and reporting mechanisms that support the role of the Executive Committee.",0
13961,2020-27353,90 days from the order date (December 7 2020),,Executive Committee,"Within 90 days of the date of this order, the Executive Committee shall submit a Federal Mission Resilience Implementation Plan to the President, through the Chief of Staff, that sets forth how the executive branch will implement the Strategy.",0
13961,2020-27353,120 days from the order date (December 7 2020),,Executive Committee,"Within 120 days of the date of this order, the Executive Committee shall coordinate the review of existing continuity policy and other related national policies, and shall provide recommendations to the President, through the Chief of Staff, on any actions necessary to align these policies with the implementation of the Strategy.",0
13962,2020-27455,"30 days from the order’s date (December 8, 2020) to develop an interagency strategy for international vaccine access",2020-12-08 + 30 days = 2020-01-07? Actually 30 days after Dec 8 2020 is Jan 7 2021,Assistant to the President for National Security Affairs,"Within 30 days of the date of this order, the Assistant to the President for National Security Affairs shall coordinate development of an interagency strategy for the implementation of section 4 of this order.",0
13964,2020-27740,120 days from order date,,Secretary of State (with USAID Administrator and other agency heads),"Within 120 days of the date of this order, the Secretary of State ... shall initiate notice-and-comment rulemaking ...",0
13964,2020-27740,30 days from order date,,President,"Within 30 days of the date of this order, the President will select a logo ...",0
13964,2020-27740,180 days from order date; then annually,,Secretary of State (with USAID Administrator and other agency heads),"Within 180 days of the date of this order, and annually thereafter, the Secretary ... shall submit ... a report ...",0
13965,2020-27807,Closure date for all executive departments and agencies,2020-12-24,,"December 24, 2020, shall be considered as falling within the scope of Executive Order 11582",0
13966,2020-27948,"Initial agency review and report; also initial report of recommended actions to recognize and reward state, territorial, and tribal governments",90 days after the order’s date,Heads of each executive department and agency,"Within 90 days of the date of this order, and every 2 years thereafter, the head of each agency shall submit a report to the Director of OMB, the Assistant to the President for Domestic Policy, and the Director of IGA identifying a list of recommended actions",0
13966,2020-27948,"Report to the President identifying recommended changes to law, agency actions, and evaluation criteria",120 days after the order’s date,Assistant to the President for Domestic Policy (in consultation with specified officials),"Within 120 days of the date of this order, and every 2 years thereafter, the Assistant to the President for Domestic Policy, in consultation with the Secretary of Commerce, the Secretary of Labor, the Director of OMB, the Administrator of the Small Business Administration, the Director of IGA, and the heads of other agencies and offices as appropriate, shall submit a report to the President identifying",0
13966,2020-27948,"Small Business Administration to seek, report, and publicly post information on state, territorial, and tribal occupational‑regulation policies",180 days after the order’s date,Administrator of the Small Business Administration (in consultation with specified officials),"Within 180 days of the date of this order, and every 2 years thereafter, the Administrator of the Small Business Administration, in consultation with the Secretary of Commerce, the Secretary of Labor, the Secretary of Health and Human Services, and the heads of other agencies as appropriate, shall seek and report on information from State, territorial, and tribal governments ... and shall make the report publicly available",0
13967,2020-28605,Council termination date,2021-09-30,President's Council on Improving Federal Civic Architecture,"The Council shall terminate on September 30, 2021, unless extended by the President.",0
13967,2020-28605,Report submission deadline,2021-09-30,President's Council on Improving Federal Civic Architecture,"The report shall be submitted prior to September 30, 2021.",0
13968,2020-28606,before the end of calendar year 2020,2020-12-31,Department of the Treasury,before the end of calendar year 2020,0
13968,2020-28606,Within 30 days of beginning to receive data from the digitization of records described in section 2 of this order,,Department of the Treasury,Within 30 days of beginning to receive data from the digitization of records described in section 2 of this order,0
13968,2020-28606,Within 6 months of the date of this order,2021-06-18,Secretary of the Treasury,Within 6 months of the date of this order,0
13970,2021-00040,Schedule 8 is effective,2021-01-01,,"Schedule 8 is effective January 1, 2021.",0
13970,2021-00040,All other schedules are effective,first day of the first applicable pay period beginning on or after 2021-01-01,,"The other schedules contained herein are effective on the first day of the first applicable pay period beginning on or after January 1, 2021.",0
13971,2021-00305,Prohibitions on transactions take effect 45 days after the order’s date,45 days after the date of this order,,prohibited beginning 45 days after the date of this order,0
13971,2021-00305,Report to the Assistant to the President for National Security Affairs,45 days after the date of this order,Secretary of Commerce,"Not later than 45 days after the date of this order, the Secretary, in consultation with the Attorney General and the Director of National Intelligence, shall provide a report to the Assistant to the President for National Security Affairs",0
13971,2021-00305,Identify transactions and persons,45 days after the date of this order,Secretary of Commerce,"Not earlier than 45 days after the date of this order, the Secretary shall identify the transactions and persons that develop or control the Chinese connected software applications",0
13972,2021-01013,180 days from order issuance,,Secretary of Defense,within 180 days of the date of this order,0
13972,2021-01013,180 days from order issuance,,NASA Administrator,Within 180 days of the date of this order,0
13972,2021-01013,Roadmap to cover development programs through 2030,2030-12-31,"Secretary of State, Secretary of Defense, Secretary of Commerce, Secretary of Energy, NASA Administrator",through 2030,0
13972,2021-01013,Requirements for NASA nuclear‑energy utilization to extend through 2040,2040-12-31,NASA Administrator,through 2040,0
13974,2021-01228,Divestment transaction deadline,2021-11-11,United States person,"any transaction entered into on or before 11:59 p.m. eastern standard time on November 11, 2021",0
13974,2021-01228,Prohibition of possession deadline,2021-11-11,United States person,"Effective at 11:59 p.m. eastern standard time on November 11, 2021, possession of any such securities by a United States person is prohibited",0
13974,2021-01228,Prohibition of possession deadline for determinations,365 days after the date of such determination,United States person,"Effective at 11:59 p.m. eastern standard time on the date 365 days after the date of such determination, possession of any such securities by a United States person is prohibited",0
13975,2021-01469,90 days after the FAR Council issues a final rule referenced in EO 13881,,United States Postmaster General,Within 90 days of the date of the FAR Council's issuance of any final rule discussed in section 2 of Executive Order 13881,0
13976,2021-01476,"identify all Federal interagency working groups and provide recommendations to the Secretary of the Interior, the Secretary of Agriculture, and the Director of OMB",Within 90 days of the date of this order,Wildland Fire Subcabinet,"Within 90 days of the date of this order, the Wildland Fire Subcabinet shall, to the extent practicable, identify all such Federal interagency working groups and provide recommendations to the Secretary of the Interior, the Secretary of Agriculture, and the Director of the Office of Management and Budget (OMB) on coordinating and consolidating these Federal interagency working groups",0
13976,2021-01476,"develop, publish, and implement a strategic plan addressing the issues described in Section 5",Within 180 days of the date of this order,Wildland Fire Subcabinet,"Within 180 days of the date of this order, the Wildland Fire Subcabinet shall develop, publish, and implement a strategic plan addressing the issues described in this section",0
13976,2021-01476,"update the Chairman of CEQ, the Director of OMB, the Director of OSTP, and the Director of the NEC on the status of the strategic plan and specific actions","Within 1 year of the date of this order, and annually thereafter",Wildland Fire Subcabinet,"Within 1 year of the date of this order, and annually thereafter, the Wildland Fire Subcabinet shall update the Chairman of CEQ, the Director of OMB, the Director of OSTP, and the Director of the NEC on the status of the strategic plan and the specific actions identified in this order",0
13977,2021-01635,30 days after order date,2021-02-17,Heads of all agencies that employ qualified law‑enforcement officers,shall submit a report ... within 30 days of the date of this order,0
13977,2021-01635,30 days after order date,2021-02-17,Attorney General,"Within 30 days of the date of this order, the Attorney General shall propose a regulation ...",0
13977,2021-01635,30 days after order date,2021-02-17,Attorney General,"Within 30 days of the date of this order, the Attorney General shall assess the need to revise subsection 0.111(e) ...",0
13977,2021-01635,30 days after order date,2021-02-17,Attorney General,"Within 30 days of the date of this order, the Attorney General shall develop and propose Federal legislation ...",0
13979,2021-01644,180 days from order date,,head of each agency,"Within 180 days of the date of this order, the head of each agency shall, to the extent permitted by law:",1
13979,2021-01644,90 days from order date,,head of each agency,"Within 90 days of the date of this order, the head of each agency shall review all significant rules the agency has issued over the last 12 years, and any other rules identified by the Administrator, to determine whether the rule was issued by a senior appointee",0
13979,2021-01644,120 days from order date,,head of each agency,"Within 120 days of the date of this order, the head of each agency shall provide a report to the President, through the Administrator, summarizing the findings of the review",0
13980,2021-01645,Agencies must publish the required guidance in the Federal Register,45 days after the date of this order,Each agency (in consultation with the Department of Justice),Within 45 days of the date of this order,0
13981,2021-01646,60 days from order date,2021-03-19,All executive departments and agencies,"Within 60 days of the date of this order, the heads of all agencies shall each submit a report to the Director of National Intelligence and the Director of the Office of Science and Technology Policy describing the manufacturer, model, and any relevant security protocols for all UAS currently owned or operated by their respective agency, or controlled by their agency through a third party, such as a contractor, that are manufactured by foreign adversaries or have significant components that are manufactured by foreign adversaries.",0
13981,2021-01646,180 days from order date,2021-07-17,Director of National Intelligence (with interagency consultation),"Within 180 days of the date of this order, the Director of National Intelligence, in consultation with the Secretary of Defense, the Attorney General, the Secretary of Homeland Security, the Director of the Office of Science and Technology Policy, and the heads of other agencies, as appropriate, shall review the reports required by subsection (a) of this section and submit a report to the President assessing the security risks posed by the existing Federal UAS fleet and outlining potential steps that could be taken to mitigate these risks, including, if warranted, discontinuing all Federal use of covered UAS and the expeditious removal of UAS from Federal service.",0
13981,2021-01646,270 days from order date,2021-10-15,Administrator of the Federal Aviation Administration,"Within 270 days of the date of this order, the Administrator of the Federal Aviation Administration (FAA) shall propose regulations pursuant to section 2209 of the FAA Extension, Safety, and Security Act of 2016 (Public Law 114-190).",0
13982,2021-01712,Within 365 days of the date of this order,2022-01-18,Secretary of Defense,"Within 365 days of the date of this order, the Secretary of Defense shall conduct a rigorous study investigating toxic exposure by members of the Armed Forces deployed to the Karshi‑Khanabad Air Base, Uzbekistan (Air Base), between October 1, 2001, and December 31, 2005.",0
13983,2021-01713,revocation takes effect,2021-01-20T12:00:00,,"effective at noon January 20, 2021",0
13984,2021-01714,Secretary of Commerce to propose regulations for IaaS identity verification,180 days after order date,Secretary of Commerce,"Within 180 days of the date of this order, the Secretary of Commerce (Secretary) shall propose for notice and comment regulations that require United States IaaS providers to verify the identity of a foreign person that obtains an Account.",0
13984,2021-01714,Secretary to propose regulations authorizing special measures on IaaS providers,180 days after order date,Secretary (Commerce),"Within 180 days of the date of this order, the Secretary shall propose for notice and comment regulations that require United States IaaS providers to take any of the special measures described in subsection (d) of this section if the Secretary, in consultation with",1
13984,2021-01714,Attorney General and Secretary of Homeland Security to engage industry for feedback on information sharing,120 days after order date,Attorney General and Secretary of Homeland Security,"Within 120 days of the date of this order, the Attorney General and the Secretary of Homeland Security, in coordination with the Secretary and, as the Attorney General and the Secretary of Homeland Security deem appropriate, the heads of other agencies, shall engage and solicit feedback from industry on how to increase information sharing and collaboration among IaaS providers and between IaaS providers and the agencies",0
13984,2021-01714,Attorney General and Secretary of Homeland Security to develop and submit a report with recommendations on voluntary information sharing,240 days after order date,Attorney General and Secretary of Homeland Security,"Within 240 days of the date of this order, the Attorney General and the Secretary of Homeland Security, in coordination with the Secretary, and",1
13986,2021-01755,Secretary must report the population tabulations to the Governor and other state officials,within 1 year of the decennial census date,Secretary of Commerce (U.S. Census Bureau),"Finally, within 1 year of the decennial census date, the Secretary must also report to the Governor and officers or public bodies having responsibility for legislative apportionment or districting of each State the population tabulations to be used for apportioning districts within that State.",0
13988,2021-01761,Within 100 days of the date of this order,,head of each agency,"Within 100 days of the date of this order, the head of each agency shall develop, in consultation with the Attorney General, as appropriate, a plan to carry out actions",0
13989,2021-01762,Waiver certifications must be made public within 10 days of the Director of OMB’s signature,,Director of OMB,shall be made public within 10 days thereafter,0
13989,2021-01762,The Office of Government Ethics must provide an annual public report on the administration of the pledge,,Office of Government Ethics,provide an annual public report on the administration of the pledge and this order,0
13990,2021-01765,publish interim social‑cost values,30 days after order date,Working Group,"(A) publish an interim SCC, SCN, and SCM within 30 days of the date of this order",0
13990,2021-01765,publish final social‑cost values,January 2022,Working Group,"(B) publish a final SCC, SCN, and SCM by no later than January 2022;",0
13990,2021-01765,provide recommendations on application of social‑cost values,September 1 2021,Working Group,"(C) provide recommendations to the President, by no later than September 1, 2021, regarding areas of decision‑making, budgeting, and procurement by the Federal Government where the SCC, SCN, and SCM should be applied;",0
13990,2021-01765,provide recommendations on review and update process,June 1 2022,Working Group,"(D) provide recommendations, by no later than June 1, 2022, regarding a process for reviewing, and, as appropriate, updating, the SCC, SCN, and SCM to ensure that these costs are based on the best available economics and science;",0
13991,2021-01766,7 days after order date,2021-01-27,Heads of agencies listed in 31 U.S.C. 901(b),"update the COVID‑19 Response Coordinator on their progress in implementing this section, including any categorical exceptions established under subsection (d) of this section, within 7 days of the date of this order",0
13998,2021-01859,Heads of agencies must update the COVID‑19 Response Coordinator on mask‑requirement progress,2021‑01‑28,All heads of agencies with relevant regulatory authority,within 7 days of the date of this order,0
13998,2021-01859,HHS and DHS assess CDC airline‑testing order,2021‑02‑04,Secretary of HHS and Secretary of Homeland Security,"shall, within 14 days of the date of this order, assess the CDC order of January 12, 2021",0
13998,2021-01859,Submit land‑port public‑health plan,2021‑02‑04,"Secretary of HHS, Secretary of Transportation, Secretary of Homeland Security","within 14 days of the date of this order, the Secretary of",1
13998,2021-01859,Submit sea‑port public‑health plan,2021‑02‑04,Secretary of Homeland Security (through the Commandant of the Coast Guard),"shall, within 14 days of the date of this order, submit to the President a plan to implement appropriate public health measures at sea ports",0
13999,2021-01863,Issue revised guidance to employers on workplace safety during the COVID‑19 pandemic,within 2 weeks of the date of this order,Secretary of Labor (through the Assistant Secretary for Occupational Safety and Health),"issue, within 2 weeks of the date of this order",0
13999,2021-01863,Issue any necessary emergency temporary standards on COVID‑19,2021-03-15,Secretary of Labor (through the Assistant Secretary for Occupational Safety and Health),"issue them by March 15, 2021",0
14001,2021-01865,180 days from 2021‑01‑21,2021-07-20,"Secretary of Defense, Secretary of Health and Human Services, Secretary of Homeland Security","Within 180 days of the date of this order, the Secretary of Defense, the Secretary of Health and Human Services, and the Secretary of Homeland Security ... shall provide to the President a strategy",0
14004,2021-02034,Report on implementation progress within 60 days of the order’s date,2021-03-26,Secretary of Defense and Secretary of Homeland Security,shall report to me within 60 days of the date of this order on their progress,0
14005,2021-02038,OMB must publish required waiver information within 45 days of the Made‑in‑America Director’s appointment,,Director of OMB,Within 45 days of the date of the appointment of the Made in America Director,0
14005,2021-02038,OMB must notify agencies of waiver review results within a deadline not to exceed 15 business days,,Director of OMB,not to exceed 15 business days,0
14005,2021-02038,Administrator of General Services must post waiver information on the public website within 5 days of receipt,,Administrator of General Services,Not later than 5 days after receiving this information,0
14005,2021-02038,FAR Council must consider amendments to the FAR within 180 days,,Federal Acquisition Regulatory Council,Within 180 days of the date of this order,0
14005,2021-02038,Each agency head must submit a report on Made‑in‑America Laws within 180 days,,Agency heads,Within 180 days of the date of this order,0
14005,2021-02038,Administrator of General Services must submit recommendations on Federal property procurement within 180 days,,Administrator of General Services,Within 180 days of the date of this order,0
14005,2021-02038,Agency heads must submit bi‑annual reports on Made‑in‑America Laws,,Agency heads,Bi‑annually following the initial submission described in section 11 of this order,0
14007,2021-02176,PCAST terminates 2 years after the order’s effective date unless the President extends it.,,,The PCAST shall terminate 2 years from the date of this order unless extended by the President.,0
14008,2021-02177,Secretary of the Treasury and Secretary of State to submit climate‑finance plan to the President,90 days,Secretary of the Treasury and Secretary of State,"shall submit the plan to the President, ... within 90 days of the date of this order",0
14008,2021-02177,Secretary of State to prepare transmittal package for Kigali Amendment,60 days,Secretary of State,"shall prepare, within 60 days of the date of this order, a transmittal package seeking the Senate's advice and consent to ratification of the Kigali Amendment",0
14008,2021-02177,All agencies to submit climate‑integration strategies and implementation plans,90 days,All agencies,"within 90 days of the date of this order, strategies and implementation plans for integrating climate considerations into their international work",0
14008,2021-02177,Director of National Intelligence to prepare National Intelligence Estimate on climate‑security impacts,120 days,Director of National Intelligence,"prepare, within 120 days of the date of this order, a National Intelligence Estimate on the national and economic security impacts of climate change",0
14008,2021-02177,Secretary of Defense to submit Climate Risk Analysis to the President,120 days,Secretary of Defense,"shall develop and submit to the President, within 120 days of the date of this order, an analysis of the security implications of climate change (Climate Risk Analysis)",0
14008,2021-02177,Each agency head to submit a draft climate action plan to the Task Force,120 days,Agency heads,shall submit a draft action plan to the Task Force and the Federal Chief Sustainability Officer within 120 days of the date of this order,0
14008,2021-02177,Federal Chief Sustainability Officer to review agency action plans,30 days,Federal Chief Sustainability Officer,"Within 30 days of an agency's submission of an action plan, the Federal Chief Sustainability Officer ... shall review the plan",0
14008,2021-02177,"Secretary of the Interior, Agriculture, Commerce to submit reports on conservation, fisheries, and climate‑resilience",90 days,Secretary of the Interior (and co‑chairs),shall submit a report to the Task Force within 90 days of the date of this order,0
14008,2021-02177,Interagency Working Group to submit report on mechanisms to revitalize coal‑ and power‑plant communities,60 days,Interagency Working Group,"within 60 days of the date of this order, the Interagency Working Group shall submit a report to the President describing all mechanisms ...",0
14008,2021-02177,Interagency Council to submit recommendations for updating EO 12898,120 days,Interagency Council,"shall, within 120 days of the date of this order, submit to the President ... a set of recommendations for further updating Executive Order 12898",0
14008,2021-02177,Chair of the Council on Environmental Quality to create Climate and Economic Justice Screening Tool,6 months,Chair of the Council on Environmental Quality,"shall, within 6 months of the date of this order, create a geospatial Climate and Economic Justice Screening Tool",0
14008,2021-02177,OMB to publish annual Environmental Justice Scorecard,February 2022,Director of the Office of Management and Budget,"By February 2022, the Director of the Office of Management and Budget ... shall ... publish on a public website an annual Environmental Justice Scorecard",0
14010,2021-02561,120 days after the order’s date (February 2 2021),2021‑05‑03,Secretary of Homeland Security,"Within 120 days of the date of this order, the Secretary of Homeland Security shall submit a report to the President with the results of this review and recommendations for creating a more efficient and orderly process that facilitates timely adjudications and adherence to standards of fairness and due process.",0
14010,2021-02561,180 days after the order’s date (February 2 2021),2021‑07‑31,Attorney General and Secretary of Homeland Security,"within 180 days of the date of this order, conduct a comprehensive examination of current rules, regulations, precedential decisions, and internal guidelines governing the adjudication of asylum claims and determinations of refugee status …",0
14010,2021-02561,270 days after the order’s date (February 2 2021),2021‑10‑30,Attorney General and Secretary of Homeland Security,"within 270 days of the date of this order, promulgate joint regulations, consistent with applicable law, addressing the circumstances in which a person should be considered a",1
14011,2021-02562,initial progress report,120 days after order date,President,an initial progress report no later than 120 days after the date of this order;,0
14011,2021-02562,interim progress reports,every 60 days after the initial report,President,interim progress reports every 60 days thereafter;,0
14011,2021-02562,recommendations report,1 year after order date,President,a report containing recommendations ... no later than 1 year after the date of this order;,0
14011,2021-02562,task‑force termination,30 days after final report,Task Force,The Task Force shall terminate 30 days after it provides its final report to the President,0
14012,2021-02563,Submit plan to the President (Sec. 3(b)),90 days,"Secretary of State, Attorney General, Secretary of Homeland Security","Within 90 days of the date of this order, the Secretary of State, the Attorney General, and the Secretary of Homeland Security shall each submit a plan to the President",0
14012,2021-02563,Submit progress report (Sec. 3(c)),180 days,"Secretary of State, Attorney General, Secretary of Homeland Security","Within 180 days of submitting the plan described in subsection (b) of this section, the Secretary of State, the Attorney General, and the Secretary of Homeland Security shall each submit a report to the President",0
14012,2021-02563,Submit public‑charge review report (Sec. 4(b)),60 days,"Secretary of State, Attorney General, Secretary of Homeland Security","Within 60 days of the date of this order, the Secretary of State, the Attorney General, and the Secretary of Homeland Security shall each submit a report to the President",0
14012,2021-02563,Develop naturalization improvement plan (Sec. 5(a)),60 days,"Secretary of State, Attorney General, Secretary of Homeland Security","shall, within 60 days of the date of this order, develop a plan describing any agency actions",0
14012,2021-02563,Submit naturalization implementation report (Sec. 5(b)),180 days,"Secretary of State, Attorney General, Secretary of Homeland Security","Within 180 days of the issuance of the plan developed pursuant to subsection (a) of this section, the Secretary of State, the Attorney General, and the Secretary of Homeland Security shall each submit a report to the President",0
14012,2021-02563,Submit naturalization strategy (Sec. 5(d)),90 days,Naturalization Working Group,"Within 90 days of the date of this order, the Naturalization Working Group shall submit a strategy to the President",0
14013,2021-02804,Report to the President on agency actions taken under the revoked directives,90 days after order date,Secretary of State and Secretary of Homeland Security,"Within 90 days of the date of this order, the Secretary of State and the Secretary of Homeland Security shall provide a report to the President …",0
14013,2021-02804,Review of Iraqi and Afghan SIV programs and report with recommendations,180 days after order date,Secretary of State (with Defense and DHS),"Within 180 days of the date of this order, the Secretary of State, in consultation with the Secretary of Defense and the Secretary of Homeland Security, shall complete a review of the Iraqi and Afghan SIV programs …",0
14013,2021-02804,Review of Chief of Mission approval procedures and report,180 days after order date,Secretary of State (with Defense),"Within 180 days of the date of this order, the Secretary of State, in consultation with the Secretary of",1
14013,2021-02804,Submit results of the Chief of Mission review,180 days after order date,Secretary of State,"Within 180 days of the date of this order, the Secretary of State shall submit to the President the results of the review described in subsection (b) of this section.",0
14013,2021-02804,Review of additional populations at risk and possible legislation for new SIV program,180 days after order date,Secretary of State (with Defense and DHS),"Within 180 days of the date of this order, the Secretary of State, in consultation with the Secretary of Defense and the Secretary of Homeland Security, shall conduct a review and submit a report …",0
14013,2021-02804,Make SIV policies publicly available; revisions posted within 30 days,180 days for initial posting; 30 days for any revisions,Secretary of State and Secretary of Homeland Security,"Within 180 days of the date of this order, the Secretary of State and the Secretary of Homeland Security shall ensure that appropriate policies and procedures … are publicly available … within 30 days of issuance.",0
14013,2021-02804,Report on USRAP fraud‑detection measures and enhancement plan,30 days after order date,Secretary of State and Secretary of Homeland Security,"Within 30 days of the date of this order, the Secretary of State and the Secretary of Homeland Security shall provide the President a report on the fraud detection measures in place for USRAP.",0
14013,2021-02804,Submit staffing and check‑rate data to the National Vetting Governance Board,30 days after order date,Agency heads involved in the Security Advisory Opinion process,"Within 30 days of the date of this order, the heads of all agencies involved in the Security Advisory Opinion process … shall submit data to the National Vetting Governance Board …",0
14013,2021-02804,Meeting to consider proposals to adjust the list of countries/criteria for Security Advisory Opinions,60 days after order date,Agencies responsible for the Security Advisory Opinion process,"Within 60 days of the date of this order, agencies responsible for the Security Advisory Opinion process shall meet to consider proposals …",0
14013,2021-02804,Deliver plan to expand community sponsorship and public‑private partnerships for USRAP,120 days after order date,Secretary of State and Secretary of Health and Human Services,"Within 120 days of the date of this order, the Secretary of State and the Secretary of Health and Human Services shall … deliver a plan to the President … to enhance the capacity of USRAP …",0
14013,2021-02804,Submit USRAP processing‑backlog plan and recommendations,120 days after order date,"Secretary of State (with AG, DHS, DNI)","Within 120 days of the date of this order, the Secretary of State, in consultation with the Attorney General, the Secretary of Homeland Security, and the Director of National Intelligence, shall submit to the President the plan described in subsection (a) …",0
14013,2021-02804,Report on climate‑change‑related migration and related policy options,180 days after order date,"APNSA (with State, Defense, DHS, USAID, DNI)","Within 180 days of the date of this order, the APNSA, in consultation with the Secretary of State, the Secretary of Defense, the Secretary of Homeland Security, the Administrator of",1
14015,2021-03424,Office operations must start within 30 days of the order’s date,,,The operations of the White House Partnerships Office shall be,1
14017,2021-04280,100 days after the order’s date,,APNSA and the APEP,"shall complete a review of supply chain risks, as outlined in subsection (b) of this section, within 100 days of the date of this order",0
14017,2021-04280,1 year after the order’s date,,Heads of agencies,"Within 1 year of the date of this order, the specified heads of agencies shall submit the following reports to the President",0
14017,2021-04280,as soon as practicable after the Section 4 reports are submitted,,APNSA and the APEP,"As soon as practicable following the submission of the reports required under section 4 of this order, the APNSA and the APEP … shall provide to the President one or more reports",0
14019,2021-05087,Agency heads submit strategic plans on voter registration and participation,2021-09-23,Heads of each agency,"Within 200 days of the date of this order, the head of each agency shall submit",1
14019,2021-05087,GSA submits strategic plan to modernize Vote.gov,2021-09-23,General Services Administration,"Within 200 days of the date of this order, GSA shall submit to the Assistant to the President for Domestic Policy a strategic plan",0
14019,2021-05087,OPM actions to expand employee voting time‑off and poll‑worker support,2021-09-23,Director of the Office of Personnel Management,"Within 200 days of the date of this order, the",1
14019,2021-05087,Report on strategic plan for overseas and military voter‑ballot tracking system,2021-09-23,Secretary of Defense,"Within 200 days of the date of this order, the Secretary of Defense shall submit a report",0
14019,2021-05087,NIST evaluates accessibility of the Federal Voter Registration Form and other barriers for people with disabilities,2021-12-02,National Institute of Standards and Technology,"Within 270 days of the date of this order, the National Institute of Standards and Technology",1
14020,2021-05183,Designation of senior officials by Council members,within 30 days of the order date,Council members,"Members of the Council shall designate, within 30 days of the date of this order, a senior official within their respective agency or office who shall coordinate with the Council",0
14020,2021-05183,Submission of Government‑wide gender equity strategy,within 200 days of the order date,White House Gender Policy Council,"Within 200 days of the date of this order, the Council, after coordination by the Co‑Chairs, shall develop and submit to the President a Government‑wide strategy for advancing gender equity and equality",0
14021,2021-05200,within 100 days of the date of this order,2021-06-16,Secretary of Education,Within 100 days of the date of this order,0
14023,2021-07756,Report to be submitted within 180 days of the Commission’s first public meeting.,,,The Commission shall submit its report to the President within 180 days of the date of the Commission's first public meeting.,0
14023,2021-07756,Commission terminates 30 days after submitting its report to the President.,,,The Commission shall terminate 30 days after it submits its report to the President.,0
14025,2021-09213,Submit recommendations to the President,2021-10-23,Task Force on Worker Organizing and Empowerment,"The Task Force shall, within 180 days of the date of this order, submit to the President recommendations for actions as described in subsection (b) of this section …",0
14026,2021-09263,Secretary of Labor must issue implementing regulations,2021-11-24,Secretary of Labor,"issue regulations by November 24, 2021",0
14026,2021-09263,FAR Council must amend the FAR to incorporate the wage clause,60 days after the Secretary issues regulations,Federal Acquisition Regulatory Council,"Within 60 days of the Secretary issuing such regulations, the Federal Acquisition Regulatory Council ... shall amend the Federal Acquisition Regulation",0
14026,2021-09263,Agencies must take steps to ensure contract compliance,60 days after the Secretary issues regulations,All federal agencies,Within 60 days of the Secretary issuing regulations ... agencies shall take steps,0
14030,2021-11168,within 120 days of the date of this order,2021-08-18,Assistant to the President for Economic Policy and Director of the National Economic Council; Assistant to the President and National Climate Advisor; Secretary of the Treasury; Director of the Office of Management and Budget,"shall develop, within 120 days of the date of this order, a comprehensive, Government‑wide strategy regarding:",0
14030,2021-11168,within 180 days of the date of this order,2021-11-16,Financial Stability Oversight Council (FSOC),issuing a report to the President within 180 days of the date of this order on any efforts by FSOC member agencies,0
14030,2021-11168,within 180 days of the date of this order,2021-11-16,Secretary of Labor,"within 180 days of the date of this order, submit to the President ... a report on the actions taken",0
14030,2021-11168,by September 2021,2021-09-30,Secretary of Labor,"consider publishing, by September 2021, for notice and comment a proposed rule",0
14031,2021-11792,Commission termination,2 years from the date of this order,President,"The Commission shall terminate 2 years from the date of this order, unless sooner renewed by the President.",0
14031,2021-11792,Report to the President outlining a Government‑wide interagency plan,annual basis,Co‑Chairs of the Initiative,"On an annual basis, the Co‑Chairs of the Initiative shall develop and submit to the President a report outlining a Government‑wide interagency plan to advance equity, justice, and opportunity for AA and NHPI",1
14035,2021-14127,Issue the Government‑wide DEIA Strategic Plan,150 days after order issuance,Director of OPM and Deputy Director for Management of OMB,within 150 days of the date of this,1
14035,2021-14127,Submit preliminary agency DEIA assessment,100 days after order issuance,Head of each agency,"within 100 days of the date of this order, submit to the APDP, the Director of OPM, and the Deputy Director for Management of OMB a preliminary assessment of the current state of diversity, equity, inclusion, and accessibility in the agency's human resources practices and workforce composition",0
14035,2021-14127,Submit Agency DEIA Strategic Plan,120 days after the Government‑wide DEIA Plan is issued,Head of each agency,"within 120 days of the issuance of the Government-wide DEIA Plan,",1
14035,2021-14127,Report on barriers for formerly incarcerated individuals,120 days after order issuance,Director of OPM,shall submit a report to the President containing the results of OPM's evaluation within 120 days of the date of this order,0
14035,2021-14127,Update the Government‑wide DEIA Plan,Every 4 years (minimum),Director of OPM and Deputy Director for Management of OMB,at a minimum every 4 years,0
14036,2021-15069,not later than 30 days after the date of this order,2021-08-08,Secretary of Transportation,"not later than 30 days after the date of this order, appoint or reappoint members of the Advisory Committee for Aviation Consumer Protection",0
14036,2021-15069,not later than 45 days after the date of this order,2021-08-23,Secretary of Transportation,"not later than 45 days after the date of this order, submit a report to the Chair of the White House Competition Council, on the progress of the Department of Transportation's investigatory and enforcement activities",0
